0,1,2,3,4,5,6,7,8,9,10,11,gender,label
0.33445647,0.1767849,0.17191154,0.1909934,0.24650702,0.28198647,0.19647714,0.17437498,0.2445608,0.38012376,0.5126049,0.48696893,male,child
0.33203512,0.2171529,0.17596924,0.19268653,0.25398657,0.34884074,0.29387146,0.20467666,0.19415222,0.2664789,0.44427857,0.45343077,male,child
0.6474251,0.60636824,0.44162944,0.1988206,0.118197896,0.09352281,0.090165675,0.14517824,0.13226551,0.13577789,0.19695035,0.3501176,male,child
0.44478053,0.51327175,0.5112906,0.40514424,0.32097128,0.21935664,0.1897754,0.18770966,0.16229261,0.17255624,0.19882816,0.33861023,male,child
0.23643427,0.43189183,0.5117595,0.4127138,0.3806825,0.29966524,0.2346005,0.21367608,0.19743317,0.12556137,0.14785326,0.17891906,male,child
0.43375555,0.4873165,0.49921888,0.43504724,0.32823431,0.24194437,0.18652397,0.17393829,0.1652385,0.15560693,0.25255227,0.32659742,male,child
0.32693827,0.51709616,0.5327127,0.3575992,0.2817837,0.28976396,0.22605221,0.18889272,0.2014566,0.1967536,0.18435769,0.24213491,male,child
0.4096005,0.41556945,0.40795028,0.35363865,0.301143,0.19961265,0.17233324,0.20266335,0.15637045,0.14530145,0.23928577,0.35842213,male,child
0.22647911,0.3492154,0.491574,0.501553,0.41566265,0.3005316,0.21981785,0.17749044,0.18304448,0.1659939,0.13070148,0.14316018,male,child
0.34577224,0.4799167,0.52189255,0.45882845,0.38379508,0.2770059,0.2563022,0.29389194,0.2270278,0.15715128,0.17180935,0.22220455,male,child
0.48658365,0.5922446,0.5050776,0.34359816,0.20963882,0.18183224,0.14280051,0.15912129,0.15268157,0.1423156,0.18727654,0.28878346,male,child
0.3229677,0.5636591,0.5715955,0.33311343,0.19607596,0.13710974,0.19516669,0.26993725,0.15212421,0.12783195,0.12300783,0.1968831,male,child
0.2647592,0.38370854,0.4666601,0.40219396,0.39132005,0.3451015,0.30757198,0.27892706,0.21037112,0.23747931,0.21220122,0.18387806,male,child
0.35561028,0.51364654,0.5106822,0.36470538,0.26599,0.14691757,0.119419515,0.12236665,0.112928614,0.11043336,0.14747277,0.2608915,male,child
0.37423444,0.49385953,0.5530327,0.47944152,0.29349282,0.26672563,0.21986276,0.14955136,0.17529722,0.21091947,0.24309248,0.26400635,male,child
0.39160085,0.48123652,0.44552496,0.31559038,0.24701656,0.2854638,0.3137385,0.30401468,0.2486654,0.16006035,0.15862434,0.29625365,male,child
0.3013029,0.41411287,0.53348935,0.4476205,0.34373713,0.26615432,0.16864544,0.22598036,0.23249808,0.18771654,0.22989081,0.22751768,male,child
0.30878794,0.42000234,0.4800916,0.4668664,0.35525236,0.22931844,0.18285084,0.1275986,0.1397685,0.16682933,0.16358323,0.19310217,male,child
0.2969474,0.45095867,0.50089264,0.4899611,0.39868882,0.36202255,0.26369563,0.22041827,0.20540789,0.16291492,0.16806862,0.22432648,male,child
0.50066704,0.5310466,0.44903368,0.33728912,0.33452436,0.3162725,0.20419392,0.17304917,0.1710041,0.20421481,0.22258879,0.3355229,male,child
0.2644154,0.37854248,0.47149014,0.4495816,0.38894594,0.28537378,0.18826306,0.19438295,0.20247476,0.13989201,0.1391999,0.19638488,male,child
0.35353613,0.3884646,0.43602052,0.4651123,0.40466693,0.25727054,0.19227445,0.2228614,0.19489253,0.16680212,0.21312094,0.3141474,male,child
0.47912928,0.5583827,0.48834264,0.38186795,0.32160294,0.29724687,0.24779503,0.22736101,0.24012809,0.2454864,0.23983131,0.32828864,male,child
0.44499525,0.556986,0.5154255,0.37795615,0.29135922,0.26727226,0.24514152,0.20177121,0.19803399,0.20812626,0.2157136,0.29513398,male,child
0.33491427,0.4315994,0.5482124,0.47247338,0.26122785,0.147828,0.10512154,0.109246284,0.0964842,0.17725152,0.22012882,0.28703392,male,child
0.38914582,0.47975782,0.48233598,0.41775787,0.3641646,0.26884887,0.16500333,0.20606701,0.18110496,0.18256144,0.20543715,0.2911879,male,child
0.34820473,0.43255845,0.47033706,0.51564103,0.46369913,0.3044552,0.24908388,0.29808912,0.26364183,0.1848101,0.21368095,0.26011777,male,child
0.33669192,0.5062719,0.53773427,0.473419,0.40861508,0.33474398,0.20410645,0.122724704,0.111446515,0.12746222,0.15168422,0.23254937,male,child
0.2897247,0.40135545,0.5219247,0.4122868,0.27709353,0.26979777,0.27518386,0.21710987,0.19878298,0.18789166,0.21155685,0.25082874,male,child
0.37479872,0.4879965,0.48342913,0.36856824,0.3237415,0.26013264,0.16020645,0.121853046,0.1504416,0.14662798,0.22585914,0.31980854,male,child
0.29625675,0.51675093,0.4373229,0.29639938,0.3361314,0.32644263,0.23737425,0.16620098,0.16522595,0.17803016,0.15309349,0.20661989,male,child
0.45883596,0.53890705,0.40349022,0.3112891,0.30936533,0.29369405,0.25153378,0.2518447,0.22094817,0.19367197,0.20612592,0.26499757,male,child
0.3099235,0.5344469,0.5098182,0.36554706,0.29829422,0.25112158,0.15617102,0.11703703,0.15051802,0.15815125,0.14036205,0.17777352,male,child
0.39727408,0.45122796,0.35385892,0.30060634,0.2976266,0.31812993,0.29625657,0.19606836,0.17119175,0.16108677,0.18007718,0.26113433,male,child
0.35200655,0.5302392,0.45886275,0.35619158,0.25818074,0.24822924,0.17892452,0.13131884,0.19093242,0.19085205,0.23338693,0.25748882,male,child
0.37899306,0.47844496,0.46398744,0.37295988,0.28444895,0.17799205,0.08622361,0.08735804,0.08494561,0.12259252,0.20860817,0.32338962,male,child
0.41690952,0.5293401,0.5758857,0.3986548,0.2815639,0.2119098,0.21082304,0.22167096,0.22423662,0.24790898,0.24909864,0.32612935,male,child
0.23532736,0.33316398,0.45272395,0.5320525,0.45969355,0.30976155,0.27877048,0.24969785,0.24094082,0.2342991,0.2425808,0.22201282,male,child
