0,1,2,3,4,5,6,7,8,9,10,11,gender,label
0.46438885,0.2983428,0.22853644,0.18280502,0.17506269,0.19389929,0.20554915,0.22813122,0.30758268,0.50466263,0.62362283,0.625249,female,adult
0.6567263,0.48651966,0.35010517,0.25700346,0.22461204,0.24211895,0.26913628,0.30980465,0.34664783,0.45548427,0.6453256,0.73637813,female,adult
0.47673124,0.33528355,0.22646108,0.1979534,0.18241407,0.1826596,0.19859375,0.23035651,0.29007408,0.47918555,0.636444,0.59916055,female,adult
0.56615865,0.47891232,0.3816125,0.3239986,0.2780684,0.26757452,0.30661094,0.32012707,0.38801363,0.48718375,0.56261665,0.62826455,female,adult
0.5514934,0.42412794,0.31898078,0.2590446,0.255559,0.28378373,0.27512363,0.29519925,0.36996195,0.46736902,0.59821475,0.6751233,female,adult
0.44729283,0.31304973,0.19800015,0.1507264,0.14505199,0.16218108,0.1879292,0.20582782,0.26809743,0.39925393,0.58348686,0.57443225,female,adult
0.5191329,0.31311402,0.20974696,0.15996712,0.14509356,0.15361091,0.16619729,0.19210519,0.27987355,0.4012019,0.5724092,0.6350192,female,adult
0.47289592,0.29009828,0.21804541,0.16418977,0.160224,0.1537169,0.19539179,0.21784383,0.28731558,0.33433244,0.45534545,0.5518496,female,adult
0.4672254,0.33169225,0.24567468,0.2096078,0.2209651,0.22289866,0.23461567,0.23747826,0.2774164,0.38440827,0.49899042,0.5159988,female,adult
0.43605733,0.3228511,0.24267522,0.23267895,0.24746926,0.25469908,0.2712327,0.291109,0.3219736,0.4727652,0.6461715,0.55732083,female,adult
0.460118,0.36688584,0.2533003,0.20141362,0.20127124,0.23246212,0.22833507,0.24100861,0.30624378,0.40128228,0.5157975,0.5501027,female,adult
0.46721184,0.3122406,0.19867049,0.21548742,0.2315496,0.20773806,0.20901032,0.2320941,0.27088246,0.40119725,0.5242238,0.5678122,female,adult
0.4864167,0.30414844,0.21481402,0.17352752,0.1793214,0.18743141,0.19476157,0.2090283,0.2555787,0.42512017,0.58640754,0.6336131,female,adult
0.5289703,0.36648777,0.26701444,0.22373648,0.20765503,0.2110119,0.21778326,0.26060826,0.32673776,0.43926054,0.5448106,0.59606963,female,adult
0.52797866,0.37873024,0.30622956,0.24553257,0.25391528,0.24625306,0.26541716,0.30916822,0.38985866,0.47822148,0.6055296,0.67326945,female,adult
0.50190395,0.32659832,0.21657574,0.17984655,0.16351849,0.19060117,0.22305211,0.26146808,0.31309512,0.42906737,0.5853618,0.649087,female,adult
0.53546613,0.39657283,0.3465479,0.27929986,0.23390412,0.23910795,0.28689626,0.33152732,0.3875422,0.4901375,0.61505216,0.68570673,female,adult
0.4619244,0.31066483,0.21996242,0.20272994,0.1944605,0.18934724,0.20317,0.2507179,0.34286606,0.48994586,0.619515,0.6180764,female,adult
0.46397376,0.42158815,0.3259423,0.24185723,0.23999937,0.22196007,0.20639493,0.23005992,0.3110314,0.5125368,0.62663317,0.5306202,female,adult
0.50593853,0.3092828,0.22860128,0.23133747,0.2473204,0.30342448,0.33711872,0.30839705,0.3425689,0.4236811,0.59752226,0.6570452,female,adult
